16
0,0,0,0,0,11,0,0,0,0,0,0,0,13,1,3
0,4,10,0,9,0,0,13,0,16,0,0,0,0,6,5
9,11,16,0,14,0,0,0,7,5,0,0,10,15,0,0
0,0,0,7,15,6,12,0,0,3,0,0,9,0,0,0
0,2,0,5,0,0,0,6,0,0,8,11,15,0,0,0
0,0,15,0,13,0,10,0,0,1,0,0,12,0,5,4
0,14,0,10,3,0,0,0,0,4,0,12,0,8,0,0
0,0,0,0,0,0,0,0,15,10,0,0,3,0,16,11
16,7,11,0,0,0,0,10,0,0,14,5,0,0,0,13
0,0,0,0,11,0,4,0,0,0,10,0,1,0,0,16
0,0,0,0,0,0,8,15,0,0,0,0,0,0,11,7
14,0,0,3,0,0,0,0,0,0,9,0,0,0,0,10
0,1,7,16,0,0,0,0,14,0,3,0,5,9,12,0
12,8,0,0,0,0,0,0,2,0,0,0,0,10,0,6
0,0,0,0,0,8,0,2,9,0,15,0,0,4,14,0
0,0,0,4,0,3,6,0,1,12,0,13,0,0,0,2
