16
5,12,8,15,10,11,2,16,4,14,6,9,7,13,1,3
3,4,10,2,9,7,1,13,8,16,12,15,11,14,6,5
9,11,16,6,14,4,3,8,7,5,13,1,10,15,2,12
1,13,14,7,15,6,12,5,10,3,11,2,9,16,4,8
4,2,3,5,7,12,16,6,13,9,8,11,15,1,10,14
11,16,15,8,13,2,10,9,3,1,7,14,12,6,5,4
7,14,6,10,3,15,11,1,5,4,16,12,2,8,13,9
13,9,12,1,8,5,14,4,15,10,2,6,3,7,16,11
16,7,11,12,2,1,9,10,6,8,14,5,4,3,15,13
8,6,2,13,11,14,4,3,12,15,10,7,1,5,9,16
10,5,4,9,6,13,8,15,16,2,1,3,14,12,11,7
14,15,1,3,5,16,7,12,11,13,9,4,6,2,8,10
2,1,7,16,4,10,13,11,14,6,3,8,5,9,12,15
12,8,5,14,1,9,15,7,2,11,4,16,13,10,3,6
6,3,13,11,12,8,5,2,9,7,15,10,16,4,14,1
15,10,9,4,16,3,6,14,1,12,5,13,8,11,7,2
